received_at	verify_id	commit	verdict	receipt_job	iter_id
2026-09-18T12:59:14	iter-173-batch-c173-r2-h1789707554601_2bb0	4bb6440	PASS	h1789707554601_2bb0	iter-002-carrier-align
2026-09-18T12:59:14	iter-174-batch-c174-fix-r2-h1789707554886_63e4	1fef081	PASS	h1789707554886_63e4	iter-002-carrier-align
2026-09-18T12:59:14	iter-174-batch-c174-r2-h1789707554814_5ef0	f83c1f6	PASS	h1789707554814_5ef0	iter-002-carrier-align
2026-09-18T13:09:08	iter-175-batch-c175-r2-h1789708148741_0fd8	d6cf44a	PASS	h1789708148741_0fd8	iter-002-carrier-align
2026-09-18T13:09:09	iter-176-batch-c176-r2-h1789708149139_3a70	1c2aa01	PASS	h1789708149139_3a70	iter-002-carrier-align
2026-09-18T13:09:09	iter-177-batch-c177-fix-d1-r2-h1789708149813_3568	e9ed21e	PASS	h1789708149813_3568	iter-002-carrier-align
2026-09-18T13:09:09	iter-177-batch-c177-r2-h1789708149536_5714	01e2914	PASS	h1789708149536_5714	iter-002-carrier-align
2026-09-18T13:09:10	iter-174-batch-c174-fix-dual-r2-h1789708150463_5910	ba95f9e	PASS	h1789708150463_5910	iter-002-carrier-align
2026-09-18T13:22:28	iter-178-batch-c178-r2-h1789708948479_68ac	d81a46d	PASS	h1789708948479_68ac	iter-002-carrier-align
2026-09-18T13:22:29	iter-178-batch-c178-fix-r2-h1789708949059_6964	0edbb54	PASS	h1789708949059_6964	iter-002-carrier-align
2026-09-18T13:22:29	iter-179-batch-c179-r2-h1789708949381_12e0	27773b7	PASS	h1789708949381_12e0	iter-002-carrier-align
2026-09-18T13:22:30	iter-179-batch-c179-fix-r2-h1789708950734_63e8	aa9762b	PASS	h1789708950734_63e8	iter-002-carrier-align
2026-09-18T13:22:31	iter-179-batch-c179-fix-d1-r2-h1789708951784_6194	01b5ff2	PASS	h1789708951784_6194	iter-002-carrier-align
2026-09-18T13:22:32	iter-180-batch-c180-fix-r2-h1789708952850_5bdc	b2faea0	PASS	h1789708952850_5bdc	iter-002-carrier-align
2026-09-18T13:22:34	iter-174-batch-c174-fix-dual-r2-h1789708953954_2dc4	95b0f93	PASS	h1789708953954_2dc4	iter-002-carrier-align
2026-09-18T13:34:59	iter-180-batch-c180-fix-d1-r2-h1789709699605_59ac	398240d	PASS	h1789709699605_59ac	iter-002-carrier-align
2026-09-18T13:34:59	iter-181-batch-c181-r2-h1789709699871_2a78	c4b33c7	PASS	h1789709699871_2a78	iter-002-carrier-align
2026-09-18T13:35:00	iter-182-batch-c182-fix-r2-h1789709700293_541c	dea4ec8	PASS	h1789709700293_541c	iter-002-carrier-align
2026-09-18T13:35:00	iter-182-batch-c182-r2-h1789709700054_68d0	9747d17	PASS	h1789709700054_68d0	iter-002-carrier-align
2026-09-18T13:35:00	iter-183-batch-c183-r2-h1789709700526_669c	80d8cf2	PASS	h1789709700526_669c	iter-002-carrier-align
2026-09-18T13:35:01	iter-184-batch-c184-r2-h1789709700992_4e10	813e8fa	PASS	h1789709700992_4e10	iter-002-carrier-align
2026-09-18T13:35:01	iter-185-batch-c185-r2-h1789709701468_530c	53cc3db	PASS	h1789709701468_530c	iter-002-carrier-align
2026-09-18T13:50:48	iter-186-batch-c186-fix-r2-h1789710648669_5968	1cf7983	PASS	h1789710648669_5968	iter-002-carrier-align
2026-09-18T13:50:48	iter-186-batch-c186-r2-h1789710648466_53c4	9ab7420	PASS	h1789710648466_53c4	iter-002-carrier-align
2026-09-18T13:50:48	iter-187-batch-c187-r2-h1789710648931_71f8	cfc65b1	PASS	h1789710648931_71f8	iter-002-carrier-align
2026-09-18T13:50:49	iter-178-batch-c178-fix-dual-r2-h1789710649693_6a78	378674b	PASS	h1789710649693_6a78	iter-002-carrier-align
2026-09-18T13:50:49	iter-180-batch-c180-fix-d1-dual-r2-h1789710649507_5be4	5e07563	PASS	h1789710649507_5be4	iter-002-carrier-align
2026-09-18T13:50:49	iter-185-batch-c185-fix-r2-h1789710649923_6090	b03548e	PASS	h1789710649923_6090	iter-002-carrier-align
2026-09-18T13:50:49	iter-188-batch-c188-r2-h1789710649266_58fc	b7df981	PASS	h1789710649266_58fc	iter-002-carrier-align
2026-09-18T13:50:50	iter-185-batch-c185-fix-d1-r2-h1789710650479_436c	3d7aead	PASS	h1789710650479_436c	iter-002-carrier-align
2026-09-18T14:08:06	iter-189-batch-c189-r2-h1789711686598_4cd8	035105e	PASS	h1789711686598_4cd8	iter-002-carrier-align
2026-09-18T14:08:06	iter-190-batch-c190-r2-h1789711686952_73a0	02368c1	PASS	h1789711686952_73a0	iter-002-carrier-align
2026-09-18T14:08:07	iter-191-batch-c191-r2-h1789711687353_6540	75d62f7	PASS	h1789711687353_6540	iter-002-carrier-align
2026-09-18T14:08:27	iter-178-batch-c178-fix-dual-r2-h1789711707950_6168	378674b	PASS	h1789711707950_6168	iter-002-carrier-align
2026-09-18T14:08:27	iter-180-batch-c180-fix-d1-dual-r2-h1789711707873_6d58	0b37478	PASS	h1789711707873_6d58	iter-002-carrier-align
2026-09-18T14:27:22	iter-191-batch-c191-fix-d1-d2-r2-h1789712842630_599c	fd8ec30	PASS	h1789712842630_599c	iter-002-carrier-align
2026-09-18T14:27:22	iter-191-batch-c191-fix-d1-r2-h1789712842232_535c	407d891	PASS	h1789712842232_535c	iter-002-carrier-align
2026-09-18T14:27:23	iter-192-batch-c192-fix-r2-h1789712843279_6b48	173b02a	PASS	h1789712843279_6b48	iter-002-carrier-align
2026-09-18T14:27:23	iter-192-batch-c192-r2-h1789712843029_0428	df94274	PASS	h1789712843029_0428	iter-002-carrier-align
2026-09-18T14:27:23	iter-193-batch-c193-r2-h1789712843668_6d70	02eaf1e	PASS	h1789712843668_6d70	iter-002-carrier-align
2026-09-18T14:27:23	iter-194-batch-c194-r2-h1789712843923_644c	1e252e6	PASS	h1789712843923_644c	iter-002-carrier-align
2026-09-18T14:27:24	iter-194-batch-c194-fix-r2-h1789712844160_7334	6f75ac8	PASS	h1789712844160_7334	iter-002-carrier-align
2026-09-18T14:27:24	iter-195-batch-c195-fix-r2-h1789712844865_6c18	562e959	PASS	h1789712844865_6c18	iter-002-carrier-align
2026-09-18T14:27:24	iter-195-batch-c195-r2-h1789712844448_5584	76b2b3a	PASS	h1789712844448_5584	iter-002-carrier-align
2026-09-18T14:27:25	iter-186-batch-c186-fix-dual-r2-h1789712845126_5080	ef93a0a	PASS	h1789712845126_5080	iter-002-carrier-align
2026-09-18T14:42:37	iter-195-batch-c195-fix-d1-r2-h1789713757488_737c	7c0d126	PASS	h1789713757488_737c	iter-002-carrier-align
2026-09-18T14:42:38	iter-196-batch-c196-r2-h1789713758329_7238	17bc70b	PASS	h1789713758329_7238	iter-002-carrier-align
2026-09-18T14:42:38	iter-197-batch-c197-r2-h1789713758817_45f8	80839da	PASS	h1789713758817_45f8	iter-002-carrier-align
2026-09-18T14:42:44	iter-198-batch-c198-r2-h1789713763827_62a4	6cd7fb3	PASS	h1789713763827_62a4	iter-002-carrier-align
2026-09-18T14:42:45	iter-199-batch-c199-r2-h1789713765431_30d0	51126d6	PASS	h1789713765431_30d0	iter-002-carrier-align
2026-09-18T14:57:07	iter-200-batch-c200-r2-h1789714627938_2920	7d55199	PASS	h1789714627938_2920	iter-002-carrier-align
2026-09-18T14:57:09	iter-200-batch-c200-fix-r2-h1789714629661_6864	d25ba42	PASS	h1789714629661_6864	iter-002-carrier-align
2026-09-18T14:57:10	iter-201-batch-c201-r2-h1789714630341_6394	c2b2164	PASS	h1789714630341_6394	iter-002-carrier-align
2026-09-18T14:57:10	iter-202-batch-c202-r2-h1789714630712_61d0	34286d6	PASS	h1789714630712_61d0	iter-002-carrier-align
2026-09-18T15:08:11	iter-202-batch-c202-fix-d1-d2-r2-h1789715291348_723c	25fde6e	PASS	h1789715291348_723c	iter-002-carrier-align
2026-09-18T15:08:11	iter-202-batch-c202-fix-d1-r2-h1789715291156_4e98	40224f0	PASS	h1789715291156_4e98	iter-002-carrier-align
2026-09-18T15:08:11	iter-202-batch-c202-fix-r2-h1789715291009_66e8	4656bcd	PASS	h1789715291009_66e8	iter-002-carrier-align
2026-09-18T15:17:11	iter-203-batch-c203-r2-h1789715831236_5250	c7702e9	PASS	h1789715831236_5250	iter-002-carrier-align
2026-09-18T15:17:12	iter-196-batch-c196-dual-r2-h1789715832021_0d80	9fda0b8	PASS	h1789715832021_0d80	iter-002-carrier-align
2026-09-18T15:26:25	iter-198-batch-c198-dual-r2-h1789716385735_5248	cc66588	PASS	h1789716385735_5248	iter-002-carrier-align
2026-09-18T15:26:25	iter-204-batch-c204-r2-h1789716385603_6d20	214d089	PASS	h1789716385603_6d20	iter-002-carrier-align
2026-09-18T15:37:12	iter-196-batch-c196-dual-r2-h1789717032500_1ac0	83ca945	PASS	h1789717032500_1ac0	iter-002-carrier-align
2026-09-18T15:37:12	iter-206-batch-c206-r2-h1789717032009_1268	7153850	PASS	h1789717032009_1268	iter-002-carrier-align
2026-09-18T15:37:12	iter-207-batch-c207-r2-h1789717032154_5bb4	015af15	PASS	h1789717032154_5bb4	iter-002-carrier-align
2026-09-18T15:43:44	verify-e11f50ad-r2-h1789717424728_733c	e11f50ad	PASS	h1789717424728_733c	iter-002-carrier-align
2026-09-18T15:44:53	verify-e11f50ad-r2-h1789717493262_5454	e11f50ad	PASS	h1789717493262_5454	iter-002-carrier-align
2026-09-18T15:48:03	iter-208-batch-c208-r2-h1789717683207_599c	7f4c5fd	PASS	h1789717683207_599c	iter-002-carrier-align
2026-09-18T15:48:04	iter-198-batch-c198-dual-r2-h1789717684927_56c4	bdee1ad	PASS	h1789717684927_56c4	iter-002-carrier-align
2026-09-18T16:41:22	close-verify-9e9ef28f		PASS	h1789720882607_18f4	iter-002-carrier-align
2026-09-18T16:41:22	verify-9e9ef28f-r2-h1789720882607_18f4	9e9ef28f	PASS	h1789720882607_18f4	iter-002-carrier-align
2026-09-18T16:50:32	close-verify-998538a1		PASS	h1789721432376_6850	iter-002-carrier-align
2026-09-18T16:50:32	verify-998538a1-r2-h1789721432376_6850	998538a1	PASS	h1789721432376_6850	iter-002-carrier-align
2026-09-18T16:59:40	verify-fce78aba-r2-h1789721980170_56bc	fce78aba	PASS	h1789721980170_56bc	iter-002-carrier-align
2026-09-18T17:09:48	verify-b8419d04-r2-h1789722588204_5004	b8419d04	PASS	h1789722588204_5004	iter-002-carrier-align
2026-09-18T17:19:26	verify-9a43cbb0-r2-h1789723166808_5bc8	9a43cbb0	PASS	h1789723166808_5bc8	iter-002-carrier-align
2026-09-18T17:30:00	close-verify-c72e8bae		PASS	h1789723800880_2d6c	iter-002-carrier-align
2026-09-18T17:30:00	verify-c72e8bae-r2-h1789723800880_2d6c	c72e8bae	PASS	h1789723800880_2d6c	iter-002-carrier-align
2026-09-18T17:39:28	verify-afbee06c-r2-h1789724368550_3878	afbee06c	PASS	h1789724368550_3878	iter-002-carrier-align
